Prvcnm,AQI,CO,NO2,O3,PM10,PM2.5,SO2
杭州滨江,116.875,0.930125,51.25,110.5416667,132.125,85.04166667,16.375
杭州西溪,110.0416667,1.046416667,48.16666667,118.5,115.3333333,80.41666667,9.25
杭州千岛湖,71.375,0.423125,24.54166667,124.9583333,73.125,46.45833333,7.208333333
杭州下沙,108.0416667,0.739541667,51.375,123.2083333,108.75,58.91666667,44.16666667
杭州卧龙桥,97.58333333,0.862833333,19.45833333,117.6666667,114.5833333,72.79166667,10.875
杭州浙江农大,109.0833333,0.988458333,45.29166667,66.08333333,151.1666667,80.45833333,14.16666667
杭州朝晖五区,125.25,1.063208333,51.54166667,129.625,140.1666667,87.58333333,13.95833333
杭州和睦小学,121.4166667,1.211833333,52.25,119.9166667,136.625,90.83333333,19.83333333
杭州临平镇,130.75,0.911666667,47.125,111.125,91.45833333,83.5,26.25
杭州城厢镇,120.125,0.954541667,45.875,118,164.0833333,88.625,25.04166667
杭州云栖,96.54166667,0.881958333,44.375,98,117.875,68.54166667,11.58333333
宁波区环保大楼,74.54166667,0.699166667,49.16666667,80.875,67.625,49.70833333,16.91666667
宁波万里学院,95.79166667,0.896458333,41.08333333,85.70833333,43.54166667,70.41666667,16.58333333
宁波龙赛医院,74.75,1.07425,41.79166667,81.29166667,64.16666667,49.75,22.16666667
宁波三江中学,102.0833333,1.079916667,48.95833333,91.20833333,121,71.08333333,30
宁波市政管理站,94.33333333,1.176916667,53.33333333,85.33333333,113.4166667,65,18.75
宁波钱湖水厂,97.625,1.189375,32.58333333,97.66666667,93.20833333,60.95833333,12.83333333
宁波太古小学,85.5,1.118,41.5,86.08333333,105.0416667,60.54166667,30.91666667
宁波市环境监测中心,93.70833333,1.254583333,42.95833333,78.125,118.8333333,68.29166667,16.54166667
温州瓯海,81.95833333,1.324791667,32.58333333,107.875,94.45833333,60.29166667,19.58333333
温州南浦,80.45833333,1.178375,31.16666667,115.8333333,95.20833333,57.83333333,17.375
温州龙湾,72.16666667,0.85375,42.41666667,103.875,86,52.625,14.91666667
温州市站,79,0.965583333,28.41666667,117.9166667,86.58333333,57.54166667,16.58333333
绍兴袍江站,44.125,0.402708333,11.91666667,68.375,50.04166667,33.33333333,24.54166667
绍兴城东开发委,167,0.798666667,38.58333333,137.2083333,169.4583333,128.2916667,48.45833333
绍兴市环保站,145.4166667,0.978041667,64,133.6666667,0,109.9166667,57.5
湖州城北水厂,116.3333333,1.325125,52.08333333,93.125,96.625,86.91666667,17.5
湖州城西水厂,100.0833333,1.0675,63.41666667,87.75,120.375,42.33333333,27.5
湖州吉山新村,111.5416667,1.297791667,59.375,91.79166667,106.1666667,83.20833333,20.66666667
嘉兴清河小学,22.375,0.172916667,10.83333333,10.79166667,15.125,16.58333333,6.791666667
嘉兴嘉兴学院,96.95833333,0.641666667,43.625,103.7916667,66.625,68.875,26.875
嘉兴监测站,81.20833333,0.651958333,45.91666667,100.0833333,88,52.41666667,24.375
台州黄岩环保大楼,89,0.825875,30.95833333,116.9583333,0,66.04166667,7.708333333
台州台州环保大楼,81.41666667,1.074125,27.25,98.08333333,94,58.875,7.125
台州路桥田洋王,93.95833333,0.760125,21.54166667,123.4583333,91.83333333,65.58333333,7.791666667
舟山定海檀枫,40.91666667,1.27875,14.125,71.08333333,25.91666667,25.375,4.875
舟山普陀东港,35.54166667,0.667458333,12.16666667,96.29166667,24.95833333,16.70833333,3.375
舟山临城新区,46.5,0.551166667,14.625,70.75,47.79166667,18.29166667,2.916666667
金华四中,125.375,0.795416667,30,142.4166667,94.66666667,88.20833333,25.20833333
金华十五中,94.58333333,0.636083333,20.75,121.5416667,77.29166667,68.16666667,27.625
金华监测站,115.7916667,0.743791667,25.54166667,138.375,110.5,81.58333333,22.04166667
衢州环保大楼,90.25,0,31.25,112.5,95.83333333,63.625,0
衢州实验学校,85.375,0.526166667,15.125,76.33333333,82.33333333,63.04166667,18
衢州衢州学院,83.04166667,0.494666667,26.125,122.875,57.70833333,56.75,15.58333333
丽水监测站大楼,76.66666667,0.53025,24.66666667,125.0833333,79.91666667,52.91666667,9.666666667
丽水莲都小学,56.45833333,0.43425,6.708333333,103.4583333,0,38.25,3.75
丽水余庄前,88.29166667,0.272458333,31.91666667,126.4583333,79.08333333,59.41666667,16.70833333
临安市政府,106.8333333,0.965416667,21.04166667,131.625,122.375,80.29166667,20.08333333
临安四中,99.66666667,1.039791667,27.375,2.375,121.5,74.41666667,3.208333333
富阳监测站,104.125,0.9565,37.20833333,83.79166667,80.66666667,78.20833333,19.58333333
富阳富春二小,111.5416667,1.157791667,29.54166667,51.66666667,86.625,84.16666667,16.125
义乌江东,108.625,0.874458333,39.875,138.0416667,111.0416667,72.58333333,23.5
义乌北苑,106.9583333,0.968,49.16666667,102.2916667,118.7916667,79.95833333,29.33333333
