Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
302,3,16,6,1,8,5,20,5
511,3,7,4,0,0,4,1,2
324,1,13,5,0,4,0,2,2
4,0,10,7,3,25,17,10,8
211,3,16,16,11,20,50,27,10
287,1,12,8,21,25,90,131,36
482,0,21,3,0,0,2,1,2
50,20,59,9,2,1,23,32,9
435,0,1,1,1,0,0,0,0
143,11,37,5,4,5,16,15,6
376,4,48,4,0,2,3,19,0
110,16,47,8,6,12,40,46,25
337,6,18,4,3,4,12,20,7
306,8,16,7,8,4,0,7,8
417,0,7,4,3,5,0,7,2
607,0,8,0,1,2,1,0,0
286,6,48,12,9,10,46,38,2
14,0,11,6,1,1,5,3,3
364,4,13,9,4,5,12,34,6
603,0,8,10,2,6,4,4,1
84,9,35,9,6,12,6,15,7
475,0,5,1,3,1,1,2,2
347,9,10,2,2,1,5,1,2
6,0,3,11,7,13,13,9,1
31,4,34,13,8,11,24,36,7
301,21,33,5,1,6,7,14,9
163,3,5,2,2,1,2,13,10
117,5,13,11,7,9,11,43,21
504,4,8,6,5,2,2,5,1
449,0,12,2,2,3,1,0,0
320,6,22,6,1,8,4,15,5
311,6,23,1,0,0,0,4,5
205,3,8,1,2,3,5,1,3
459,0,6,1,0,2,2,6,4
225,11,25,8,3,5,9,12,11
112,4,20,7,4,17,16,18,14
458,5,7,1,1,0,2,11,4
188,2,8,9,2,2,6,8,8
254,12,18,5,1,5,8,17,11
74,34,43,12,4,15,25,49,18
316,0,8,1,2,1,3,6,3
507,0,15,1,0,0,1,4,3
243,0,5,3,4,3,1,9,6
196,3,9,5,6,7,30,27,15
152,3,32,2,1,3,7,18,4
149,0,9,11,2,4,7,5,0
229,3,8,3,3,5,5,12,10
20,1,12,3,2,7,11,19,14
487,1,2,0,2,3,0,1,3
162,0,7,2,0,1,1,4,6
226,2,14,4,5,9,2,11,7
319,4,12,3,0,3,3,3,6
234,2,17,4,2,1,2,6,4
326,3,13,3,0,2,4,6,3
457,3,6,3,1,0,0,2,3
76,2,4,17,20,34,26,15,4
214,12,15,1,0,2,7,9,4
157,8,20,4,4,2,7,6,3
464,3,28,2,1,3,3,4,2
46,5,24,2,5,2,9,17,2
259,5,8,5,1,2,1,5,1
233,8,40,5,9,10,13,18,7
99,3,33,10,3,11,7,16,4
154,6,16,2,1,0,4,2,3
135,0,1,0,1,0,0,4,3
309,1,14,1,1,1,3,10,0
178,2,11,0,2,2,2,4,2
156,3,23,7,7,6,11,13,15
307,3,16,2,2,5,3,12,14
296,3,14,6,2,2,7,11,13
274,8,12,3,1,1,1,3,0
52,8,16,18,5,21,88,33,3
312,8,23,3,4,1,4,9,6
490,2,11,1,0,0,0,6,4
181,2,20,5,6,22,32,69,29
434,0,5,0,0,2,4,3,0
277,0,22,9,2,3,4,4,3
425,1,9,2,2,1,4,1,2
461,3,5,0,2,3,2,4,5
260,0,8,3,2,3,8,21,10
506,0,3,2,1,4,1,1,1
332,1,16,3,2,8,5,26,15
308,6,8,1,0,0,2,3,6
502,1,11,2,2,2,1,3,2
462,3,14,2,1,0,0,1,3
19,2,12,6,3,9,12,8,8
51,8,13,4,7,28,40,37,6
486,0,4,3,1,4,2,4,4
128,4,31,13,0,5,4,17,12
411,0,3,2,0,0,0,0,0
370,2,12,4,1,0,9,3,2
283,13,41,7,10,39,86,91,13
484,2,8,0,0,1,0,4,2
340,11,37,7,6,8,12,18,11
216,0,5,1,0,0,1,3,3
305,8,21,9,0,2,6,6,1
170,4,11,2,1,4,3,4,1
212,12,10,8,3,4,19,50,9
88,5,27,7,1,3,8,17,6
171,0,3,0,0,2,0,1,0
419,0,1,6,2,6,5,6,1
472,0,2,1,1,2,0,6,0
120,5,6,2,1,7,2,8,3
90,0,7,12,15,11,32,47,34
548,0,1,0,0,0,0,0,0
71,7,25,9,6,8,34,42,12
374,7,21,3,0,1,2,2,2
261,0,2,0,4,4,20,20,5
111,6,20,11,4,6,26,28,14
437,0,4,0,0,1,0,1,0
164,2,21,11,6,11,50,24,6
209,0,10,1,0,0,0,1,0
16,1,26,9,1,4,3,13,13
22,4,14,8,7,11,10,15,11
416,1,8,7,0,2,1,1,1
382,1,2,0,3,1,5,2,1
119,0,17,6,0,1,8,19,0
501,2,3,4,3,2,0,0,0
