Id,Com
0,0
1,1
2,2
3,2
4,2
5,3
6,2
7,3
8,4
9,5
10,6
11,7
12,8
13,9
14,10
15,10
16,9
17,9
18,3
19,10
20,9
21,10
22,10
23,3
24,3
25,3
26,3
27,3
28,9
29,9
30,9
31,3
32,10
33,3
34,2
35,2
36,3
37,3
38,3
39,3
40,3
41,3
42,5
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,9
55,10
56,3
57,10
58,9
59,3
60,9
61,9
62,2
63,11
64,12
65,13
66,3
67,9
68,3
69,9
70,14
71,3
72,3
73,3
74,3
75,3
76,2
77,3
78,15
79,16
80,3
81,3
82,17
83,18
84,3
85,2
86,3
87,9
88,3
89,3
90,2
91,3
92,3
93,9
94,9
95,19
96,3
97,2
98,3
99,2
100,3
101,20
102,7
103,3
104,21
105,22
106,3
107,3
108,10
109,10
110,3
111,3
112,3
113,9
114,23
115,9
116,9
117,9
118,9
119,9
120,5
121,8
122,10
123,9
124,10
125,3
126,9
127,9
128,9
129,10
130,9
131,9
132,5
133,3
134,3
135,5
136,10
137,10
138,9
139,24
140,3
141,2
142,3
143,9
144,9
145,3
146,10
147,3
148,5
149,5
150,2
151,25
152,9
153,9
154,9
155,26
156,9
157,2
158,9
159,9
160,9
161,3
162,9
163,9
164,3
165,27
166,9
167,10
168,3
169,3
170,3
171,10
172,3
173,2
174,3
175,3
176,9
177,2
178,3
179,3
180,2
181,3
182,3
183,9
184,5
185,9
186,3
187,28
188,9
189,29
190,9
191,3
192,3
193,5
194,3
195,3
196,3
197,3
198,3
199,3
200,8
201,30
202,5
203,10
204,8
205,10
206,5
207,5
208,10
209,5
210,9
211,3
212,3
213,9
214,9
215,3
216,9
217,3
218,3
219,9
220,9
221,31
222,9
223,9
224,9
225,9
226,9
227,9
228,9
229,9
230,9
231,27
232,2
233,3
234,27
235,32
236,9
237,5
238,27
239,27
240,27
241,10
242,27
243,27
244,27
245,27
246,9
247,8
248,8
249,27
250,9
251,27
252,8
253,27
254,27
255,2
256,27
257,9
258,9
259,9
260,9
261,10
262,5
263,5
264,3
265,33
266,34
267,2
268,2
269,35
270,36
271,5
272,5
273,3
274,10
275,10
276,9
277,9
278,5
279,5
280,5
281,10
282,10
283,3
284,2
285,9
286,3
287,3
288,9
289,9
290,9
291,9
292,27
293,27
294,27
295,27
296,9
297,27
298,9
299,2
300,2
301,3
302,9
303,27
304,27
305,9
306,27
307,9
308,9
309,9
310,9
311,27
312,27
313,9
314,27
315,9
316,27
317,10
318,9
319,9
320,10
321,3
322,8
323,27
324,2
325,27
326,27
327,9
328,8
329,2
330,9
331,9
332,9
333,9
334,2
335,5
336,8
337,3
338,3
339,5
340,9
341,2
342,10
343,9
344,27
345,8
346,3
347,9
348,10
349,9
350,9
351,33
352,7
353,27
354,27
355,37
356,7
357,38
358,39
359,3
360,40
361,41
362,42
363,43
364,9
365,9
366,5
367,5
368,44
369,10
370,3
371,45
372,9
373,9
374,9
375,10
376,9
377,9
378,10
379,46
380,47
381,10
382,10
383,10
384,48
385,8
386,49
387,50
388,8
389,51
390,8
391,52
392,53
393,54
394,3
395,7
396,55
397,56
398,57
399,56
400,33
401,5
402,5
403,5
404,58
405,5
406,5
407,59
408,60
409,61
410,5
411,62
412,62
413,8
414,3
415,63
416,8
417,8
418,8
419,8
420,8
421,8
422,8
423,8
424,2
425,8
426,8
427,8
428,8
429,64
430,65
431,8
432,27
433,66
434,10
435,10
436,2
437,9
438,9
439,10
440,67
441,68
442,10
443,10
444,10
445,69
446,10
447,27
448,27
449,27
450,27
451,27
452,27
453,27
454,27
455,27
456,9
457,27
458,27
459,2
460,27
461,27
462,27
463,27
464,27
465,27
466,27
467,27
468,27
469,27
470,27
471,27
472,27
473,70
474,27
475,27
476,9
477,27
478,27
479,27
480,27
481,27
482,27
483,27
484,9
485,27
486,27
487,9
488,9
489,9
490,9
491,9
492,9
493,9
494,71
495,9
496,9
497,9
498,9
499,9
500,9
501,9
502,9
503,9
504,9
505,9
506,9
507,9
508,9
509,9
510,9
511,9
512,72
513,73
514,27
515,27
516,74
517,75
518,76
519,27
520,27
521,77
522,78
523,27
524,79
525,27
526,27
527,27
528,80
529,81
530,82
531,83
532,84
533,66
534,85
535,86
536,87
537,88
538,89
539,90
540,91
541,92
542,93
543,93
544,84
545,94
546,95
547,96
548,97
549,98
550,99
551,100
552,3
553,101
554,102
555,103
556,104
557,105
558,106
559,107
560,108
561,109
562,110
563,8
564,111
565,112
566,113
567,53
568,114
569,115
570,116
571,117
572,118
573,119
574,120
575,121
576,122
577,7
578,123
579,124
580,125
581,126
582,127
583,128
584,129
585,33
586,130
587,131
588,132
589,9
590,27
591,27
592,27
593,133
594,134
595,135
596,27
597,27
598,27
599,136
600,27
601,27
602,27
603,27
604,27
605,27
606,84
607,84
608,137
609,84
610,84
611,84
612,84
613,84
614,84
615,84
616,84
617,84
618,84
619,9
620,3
