Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
374,9,9,25,3,11,14,3,5
89,25,68,9,1,4,15,5,0
344,1,13,7,5,14,26,43,25
507,0,8,0,0,10,3,3,2
432,0,0,7,0,3,9,10,2
231,1,4,14,7,15,11,9,7
302,0,4,6,5,10,9,7,3
273,5,14,11,6,3,13,10,0
115,2,5,11,5,12,9,34,6
16,8,20,19,5,7,6,14,2
97,0,0,4,2,24,24,7,3
260,1,5,5,5,7,13,22,7
293,0,0,5,5,6,9,5,3
520,0,0,1,0,1,0,9,0
255,23,52,22,13,34,32,11,5
129,2,2,11,3,13,5,8,1
493,0,12,4,4,0,12,7,4
291,15,15,10,9,9,15,12,11
341,4,0,2,11,13,36,16,0
166,3,5,4,3,6,4,3,2
31,3,19,7,17,21,42,26,17
284,13,23,16,5,20,28,16,8
56,10,42,33,9,21,28,20,9
229,2,8,10,9,21,19,27,15
172,2,12,9,7,9,20,6,6
48,3,37,16,16,18,66,79,13
84,2,29,15,6,8,6,11,9
327,3,10,7,4,5,8,12,7
232,1,16,11,8,13,15,8,5
69,1,18,7,7,21,26,29,17
248,0,2,0,1,0,5,2,2
433,0,0,0,0,0,0,2,0
282,0,11,10,1,2,10,10,1
401,4,1,2,1,5,3,2,0
73,11,12,14,10,10,17,17,12
174,33,155,21,8,19,38,61,11
181,1,16,8,8,33,55,34,20
213,0,5,1,4,6,11,10,4
131,2,8,6,7,10,21,16,4
251,0,0,4,4,1,8,4,2
5,0,4,4,7,10,7,8,2
21,6,13,5,5,10,31,26,9
100,4,20,11,10,17,60,60,8
373,0,0,0,0,0,1,0,0
209,0,5,4,0,4,2,1,0
237,1,13,7,5,16,12,11,1
39,2,17,7,7,26,38,38,10
465,2,7,7,6,3,3,4,2
461,0,3,7,3,9,4,4,3
288,2,8,5,7,7,3,6,0
332,1,6,12,8,19,11,9,7
550,0,0,0,1,0,1,0,0
191,1,42,10,9,23,53,43,11
37,2,15,11,8,27,38,37,17
544,0,0,0,0,2,1,1,0
57,1,4,5,6,25,25,15,10
258,0,6,2,1,12,9,9,7
20,0,5,9,5,10,14,17,2
116,2,3,3,7,4,17,21,4
2,3,9,8,1,2,13,7,6
523,2,2,1,0,1,4,1,0
607,1,4,3,0,3,1,1,1
45,0,13,7,5,4,19,10,4
28,6,13,8,6,9,6,6,2
87,11,1,11,6,8,4,5,5
366,0,5,7,0,0,6,0,0
