Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
东方灯具市场,9,67,42,33,37,48,68,17
滨江美景园,4,33,9,9,17,10,23,8
信河嘉会里路口,2,27,27,13,21,22,20,11
百里小学,11,43,24,14,10,19,13,10
马鞍池南,6,56,19,19,18,25,33,18
都市花园,5,60,31,23,23,32,32,7
鹿城区公安局,1,11,17,14,9,15,39,7
国际贸易中心,3,42,43,52,40,58,78,25
繁华公寓,5,25,22,19,15,21,14,11
鹿城路嘉乐迪,1,38,18,21,19,31,22,15
