Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
366,0,5,5,0,0,0,0,0
153,1,10,5,3,2,4,4,0
349,0,10,2,2,2,2,1,1
38,1,15,8,3,2,18,9,1
7,4,7,2,0,0,2,1,1
333,0,4,4,0,0,0,0,0
233,0,7,6,2,3,8,12,3
306,5,4,1,0,2,0,1,1
308,0,0,2,0,2,0,2,0
550,0,0,1,0,0,0,0,0
13,0,3,6,3,2,7,15,6
436,0,0,1,1,0,2,0,0
511,0,5,1,0,0,0,1,0
142,0,5,5,3,12,18,14,2
158,3,6,1,0,1,0,1,5
345,2,1,1,3,2,2,7,1
429,0,0,1,0,0,0,0,0
484,0,8,1,0,0,0,0,0
607,0,1,1,0,0,0,0,0
241,0,2,7,1,7,5,6,1
319,3,6,2,2,0,2,3,1
211,0,5,6,2,6,39,20,4
60,0,6,4,1,1,2,2,4
334,1,5,1,0,1,2,6,1
338,0,14,1,0,1,0,0,0
15,0,5,7,0,1,4,1,0
274,0,0,4,1,0,1,0,0
115,1,2,2,1,4,9,12,3
372,0,1,3,0,0,0,0,0
41,1,26,13,1,1,4,10,0
616,0,1,0,0,0,0,1,0
257,1,1,0,0,0,1,2,1
81,6,7,7,2,8,20,33,4
406,0,1,0,0,0,0,0,0
452,0,1,0,0,0,0,0,0
129,1,8,3,3,1,0,1,0
204,0,3,4,1,1,1,1,0
170,0,6,5,0,3,3,1,1
383,0,2,2,0,2,4,8,2
137,2,12,1,0,0,2,0,0
471,0,6,0,0,1,0,0,2
217,0,1,0,1,1,16,8,3
311,6,3,3,0,0,0,0,0
301,6,6,5,3,1,3,1,1
84,0,19,5,1,2,4,5,5
350,2,10,3,0,0,0,1,0
499,0,1,0,0,0,0,0,0
303,2,8,3,1,3,1,3,1
216,0,5,0,0,0,0,1,1
25,0,2,4,1,8,8,7,3
165,0,4,1,1,0,0,0,1
29,2,12,3,1,5,2,2,0
16,2,9,4,2,2,1,2,2
106,2,8,2,1,1,12,10,1
140,2,16,5,2,6,4,14,8
4,0,1,0,0,0,1,0,0
276,0,5,0,0,1,0,1,1
51,4,4,6,3,8,31,24,4
35,5,0,0,1,1,8,0,0
365,1,1,0,0,0,3,2,2
242,1,2,0,0,1,4,6,5
72,6,6,5,1,3,4,12,1
457,2,7,2,0,0,1,0,1
113,2,4,1,1,0,4,10,1
